學校名稱,申請延長修業年限因素之學生人數-小計,申請延長修業年限因素之學生人數-因畢業學分未修滿因素,申請延長修業年限因素之學生人數-因未通過畢業門檻(條件)因素,申請延長修業年限因素之學生人數-因修讀雙主修因素,申請延長修業年限因素之學生人數-因修讀輔系因素,申請延長修業年限因素之學生人數-因修讀跨校學位因素,申請延長修業年限因素之學生人數-因出國學習因素,申請延長修業年限因素之學生人數-因修讀教育學程(學分學程)因素,申請延長修業年限因素之學生人數-其他因素,在學學生數,於學年底處於休學狀態之人數-總計,於學年底處於休學狀態之人數-因傷病,於學年底處於休學狀態之人數-因經濟困難,於學年底處於休學狀態之人數-因學業成績不佳,於學年底處於休學狀態之人數-因志趣不合,於學年底處於休學狀態之人數-因工作需求,於學年底處於休學狀態之人數-因懷孕,於學年底處於休學狀態之人數-因育嬰,於學年底處於休學狀態之人數-因兵役,於學年底處於休學狀態之人數-因出國,於學年底處於休學狀態之人數-因論文撰寫,於學年底處於休學狀態之人數-因適應不良,於學年底處於休學狀態之人數-因家人傷病,於學年底處於休學狀態之人數-因考試訓練,於學年底處於休學狀態之人數-因逾期未註冊、繳費、選課,於學年底處於休學狀態之人數-其他,學期間退學人數-小計,學期間退學人數-因成績不佳或曠課時數過多,學期間退學人數-因操行成績,學期間退學人數-因志趣不合,學期間退學人數-因逾期未註冊,學期間退學人數-因休學逾期未復學,學期間退學人數-因懷孕,學期間退學人數-因育嬰,學期間退學人數-因傷病,學期間退學人數-因工作需求,學期間退學人數-因經濟困難,學期間退學人數-因生涯規劃,學期間退學人數-其他(不含死亡)
南亞科技學校財團法人南亞技術學院,76,66,10,0,0,0,0,0,0,8286,346,18,41,0,32,149,13,11,27,0,4,4,17,1,29,0,349,36,0,48,39,193,0,1,2,10,3,16,1
南臺學校財團法人南臺科技大學,538,439,92,1,1,0,0,5,0,51666,1951,142,224,29,253,796,22,14,156,25,31,18,24,61,0,156,1231,94,0,406,278,345,0,0,8,63,15,22,0
南華大學,200,175,23,0,0,0,0,0,2,16416,608,38,48,35,88,166,7,27,15,9,107,16,28,10,0,14,638,94,0,183,42,256,0,0,11,19,3,10,20
南開科技大學,120,89,31,0,0,0,0,0,0,9705,146,8,10,3,9,70,1,0,17,1,6,6,3,2,1,9,398,27,3,124,81,133,2,0,4,19,2,3,0
台北海洋學校財團法人台北海洋科技大學,237,187,50,0,0,0,0,0,0,12372,407,18,68,0,82,132,3,1,26,1,0,0,0,0,65,11,608,9,1,230,95,195,0,0,3,31,23,7,14
台南家專學校財團法人台南應用科技大學,213,194,3,1,2,0,0,13,0,35148,908,87,76,43,178,316,9,4,13,19,1,43,87,0,0,32,1102,86,0,353,143,359,0,0,12,86,13,22,28
台灣基督長老教會南神神學院,0,0,0,0,0,0,0,0,0,219,29,0,0,0,3,6,1,0,1,0,13,1,2,0,0,2,5,1,0,0,0,4,0,0,0,0,0,0,0
台灣首府學校財團法人台灣首府大學,38,38,0,0,0,0,0,0,0,2433,35,0,1,3,4,21,1,0,1,0,0,0,3,0,0,1,135,8,0,19,40,33,1,0,2,30,0,1,1
台神學校財團法人台灣神學研究學院,0,0,0,0,0,0,0,0,0,348,12,2,0,0,0,4,0,2,0,0,3,0,0,0,0,1,5,0,0,0,0,1,0,0,1,0,1,2,0
吳鳳科技大學,82,76,6,0,0,0,0,0,0,14745,443,10,17,23,68,150,3,1,15,0,0,7,16,2,131,0,435,13,0,67,41,155,0,1,3,87,12,30,26
和春技術學院,21,20,1,0,0,0,0,0,0,903,17,1,0,0,0,12,0,1,1,0,0,0,0,0,1,1,92,2,0,9,18,32,0,0,0,23,2,3,3
唯心聖教學院,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
嘉藥學校財團法人嘉南藥理大學,245,205,38,1,1,0,0,0,0,34374,981,52,72,10,63,172,7,2,43,3,9,14,11,3,215,305,1085,7,0,299,154,532,1,0,7,31,7,8,39
國立中央大學,212,126,31,20,9,0,17,9,0,36384,922,51,29,20,81,229,5,82,5,23,181,13,31,22,0,150,602,82,0,125,86,267,0,0,5,22,2,13,0
國立中山大學,255,133,78,6,6,0,14,1,17,29691,859,44,13,9,47,251,11,55,9,25,138,11,4,16,4,222,546,44,0,36,70,187,0,3,6,41,2,106,51
國立中正大學,220,148,0,43,7,0,7,8,7,33636,985,48,30,35,119,240,10,63,0,24,235,9,70,40,3,59,577,65,0,163,63,242,0,0,4,27,1,7,5
國立中興大學,303,237,15,34,4,2,4,7,0,45462,1251,88,34,18,116,262,5,113,3,42,189,20,84,39,0,238,932,107,0,265,142,257,0,0,11,46,4,86,14
國立勤益科技大學,211,188,23,0,0,0,0,0,0,37326,731,23,21,61,200,173,3,9,45,4,4,13,12,11,150,2,861,152,29,200,13,370,0,0,7,36,7,40,7
國立嘉義大學,172,134,14,8,3,0,3,10,0,35415,1039,70,40,51,212,411,15,43,22,22,77,17,57,0,1,1,818,89,0,289,78,220,0,1,10,126,2,3,0
國立宜蘭大學,150,137,11,2,0,0,0,0,0,16911,309,24,9,23,33,106,1,6,21,13,22,20,11,11,0,9,360,57,0,131,42,107,0,0,1,8,0,14,0
國立屏東大學,215,186,20,0,3,0,0,4,2,27411,497,11,16,18,61,180,4,35,3,8,84,24,20,14,4,15,442,44,0,121,83,162,0,1,1,22,1,6,1
國立屏東科技大學,288,244,35,1,0,0,1,6,1,32061,607,48,18,38,56,161,2,16,7,2,28,127,67,24,8,5,603,101,0,164,59,223,0,0,5,21,2,26,2
國立彰化師範大學,206,165,26,4,2,0,1,8,0,25377,905,38,23,9,63,254,18,76,10,13,171,10,37,46,40,97,476,39,0,80,61,239,0,0,5,23,4,22,3
國立成功大學,602,478,23,73,19,0,8,1,0,67218,1708,96,29,61,214,304,13,123,17,0,149,29,127,34,23,489,1220,136,1,185,121,682,0,0,8,16,15,54,2
國立政治大學,712,264,1,203,152,0,89,3,0,48330,2198,92,14,3,24,453,18,184,25,64,180,0,0,0,555,586,644,46,0,144,3,419,0,0,6,16,1,4,5
國立暨南國際大學,214,139,47,8,2,0,2,13,3,18726,444,39,11,11,30,180,3,24,2,13,49,33,43,6,0,0,280,29,0,34,49,129,0,0,0,9,0,30,0
國立東華大學,456,396,22,5,7,0,9,17,0,30753,1128,89,33,50,44,265,11,70,9,18,186,24,134,27,11,157,552,65,2,127,92,158,0,0,7,21,3,73,4
國立清華大學,465,192,133,26,25,1,20,26,42,52464,1373,125,20,117,167,302,19,107,33,77,281,37,40,15,0,33,714,152,2,83,226,170,0,0,11,48,2,3,17
國立澎湖科技大學,128,46,27,0,0,0,0,0,55,9189,185,4,3,0,6,23,0,0,0,0,0,0,0,0,0,149,202,12,3,2,10,50,0,0,0,0,0,0,125
國立聯合大學,202,183,13,5,0,0,0,1,0,22965,302,28,14,28,74,71,4,3,15,7,22,12,3,11,5,5,440,94,2,158,55,118,0,0,1,7,0,4,1
國立臺中教育大學,104,58,36,0,1,0,0,9,0,15015,494,39,14,7,39,176,18,23,2,14,61,42,24,6,0,29,295,20,0,109,34,74,0,1,4,25,2,26,0
國立臺中科技大學,256,176,78,0,2,0,0,0,0,48573,1081,82,57,58,195,478,11,34,13,21,5,25,43,35,21,3,1123,125,4,248,291,325,0,0,10,56,7,57,0
國立臺北商業大學,114,77,26,0,0,0,11,0,0,22470,382,37,25,32,50,139,3,10,2,30,13,10,17,12,0,2,312,72,1,101,5,78,1,1,4,22,5,20,2
國立臺北大學,266,146,5,84,11,3,14,3,0,30708,730,32,25,35,66,250,6,35,9,39,106,20,17,20,3,67,540,107,0,136,48,125,0,0,10,69,4,33,8
國立臺北教育大學,123,70,3,7,0,0,17,20,6,17814,652,27,14,1,47,174,15,68,4,22,177,11,31,24,11,26,315,14,0,84,109,0,2,0,8,40,3,34,21
國立臺北科技大學,254,211,33,0,0,0,9,1,0,40863,769,58,32,23,74,333,5,31,24,70,57,13,25,16,6,2,581,61,4,71,143,223,0,0,8,27,1,43,0
國立臺北藝術大學,223,114,80,0,16,0,0,13,0,9189,525,29,46,8,14,86,9,25,8,48,172,4,20,11,1,44,162,8,0,2,16,63,0,1,1,6,2,62,1
國立臺北護理健康大學,102,80,20,2,0,0,0,0,0,16095,483,35,10,8,44,132,20,34,0,15,108,14,25,16,13,9,208,15,1,44,19,89,0,1,4,7,2,26,0
國立臺南大學,121,85,26,2,2,0,0,6,0,17817,584,24,15,15,51,162,8,28,4,5,133,11,12,12,0,104,346,32,0,100,18,26,0,2,4,95,3,66,0
國立臺南藝術大學,52,38,14,0,0,0,0,0,0,4848,251,16,5,0,7,54,2,13,1,17,43,33,17,1,0,42,115,8,0,25,9,27,0,0,0,17,0,16,13
國立臺南護理專科學校,14,12,2,0,0,0,0,0,0,5778,26,7,1,0,10,3,0,0,1,0,0,0,3,0,1,0,45,2,1,26,2,12,0,0,1,0,0,1,0
國立臺東大學,146,109,18,1,4,0,2,10,2,15420,467,44,19,8,38,108,6,11,6,5,22,6,26,12,41,115,341,19,0,166,9,100,0,0,1,23,1,16,6
國立臺東專科學校,33,33,0,0,0,0,0,0,0,2865,112,5,13,13,29,16,0,1,10,1,0,15,2,1,6,0,132,16,0,46,8,52,1,0,0,3,1,5,0
國立臺灣大學,1286,877,70,128,72,0,105,34,0,98769,3277,247,53,34,255,547,13,147,27,284,583,35,7,13,16,1016,1446,163,0,127,495,483,0,0,1,26,6,37,108
國立臺灣師範大學,554,379,20,46,23,0,24,62,0,48492,2035,39,70,6,189,620,35,219,12,85,482,61,0,37,11,169,860,114,0,105,566,0,0,0,6,46,5,8,10
國立臺灣戲曲學院,26,26,0,0,0,0,0,0,0,1623,32,3,1,1,14,5,1,1,1,2,0,0,3,0,0,0,25,0,0,16,2,5,0,0,0,1,0,0,1
國立臺灣海洋大學,302,242,14,9,0,0,0,0,37,27204,597,46,16,27,78,203,5,13,17,26,47,20,54,20,0,25,511,33,0,149,69,146,0,0,5,36,8,62,3
國立臺灣科技大學,252,213,24,4,1,0,4,6,0,33687,767,56,29,40,74,226,8,57,5,29,94,23,44,6,0,76,484,48,0,60,165,79,0,1,6,30,9,72,14
國立臺灣藝術大學,208,108,80,5,2,0,0,13,0,16842,484,27,17,32,20,119,3,24,6,37,77,20,5,13,13,71,248,18,0,32,72,98,0,0,0,3,1,13,11
國立臺灣體育運動大學,149,85,51,0,0,0,0,13,0,9363,213,5,55,15,20,99,3,7,1,0,0,0,0,2,6,0,282,37,0,58,64,105,0,0,1,10,6,1,0
國立虎尾科技大學,227,227,0,0,0,0,0,0,0,34224,441,21,20,54,107,125,2,6,25,5,14,34,13,7,0,8,532,121,0,170,58,139,0,1,4,19,6,1,13
國立金門大學,92,85,6,0,1,0,0,0,0,12645,184,18,4,6,27,69,2,10,9,8,7,0,4,2,15,3,367,24,0,114,117,90,0,1,1,8,0,12,0
國立陽明交通大學,313,230,17,53,2,0,4,4,3,61236,1670,102,43,32,195,388,15,170,35,125,366,42,59,59,3,36,985,109,1,163,613,4,0,2,4,39,0,50,0
國立雲林科技大學,238,174,46,0,2,0,11,5,0,29655,671,27,82,45,71,261,4,32,20,11,50,38,12,8,5,5,471,78,0,87,235,0,0,0,6,18,8,38,1
國立體育大學,110,83,9,0,0,0,0,18,0,7929,294,8,0,0,0,263,4,14,1,0,0,0,0,4,0,0,205,16,0,35,54,82,0,0,1,15,0,2,0
國立高雄大學,164,155,5,0,0,0,4,0,0,17748,483,41,24,70,57,235,3,13,7,1,6,0,14,6,5,1,366,29,0,132,58,121,0,0,3,17,2,2,2
國立高雄師範大學,123,100,1,6,2,0,3,11,0,21441,998,40,31,2,84,347,26,90,9,19,229,44,53,13,6,5,413,26,0,152,100,44,0,1,2,40,1,47,0
國立高雄科技大學,630,455,160,4,8,0,2,1,0,83706,1620,81,78,223,292,632,14,49,51,15,0,0,62,0,19,104,1260,119,0,299,272,395,0,2,8,77,21,64,3
國立高雄餐旅大學,35,26,4,0,0,0,0,5,0,14394,207,15,22,22,28,37,4,6,5,4,4,8,10,2,27,13,121,9,7,43,6,38,0,0,0,10,2,4,2
城市學校財團法人臺北城市科技大學,590,364,219,0,0,0,7,0,0,28377,1071,25,72,15,21,216,2,1,92,10,4,16,56,24,394,123,1138,79,4,168,122,408,1,1,6,56,16,252,25
大仁科技大學,178,169,9,0,0,0,0,0,0,14802,710,34,63,8,65,91,3,4,25,7,13,9,18,25,201,144,859,26,5,87,211,409,1,0,4,31,18,67,0
大同大學,155,141,12,0,0,0,0,0,2,11940,192,16,6,6,39,52,1,4,6,12,22,9,4,6,0,9,249,26,0,58,23,106,0,0,1,4,2,29,0
大同技術學院,37,37,0,0,0,0,0,0,0,2826,111,4,2,2,8,52,4,0,2,1,0,0,1,1,23,11,214,37,0,36,33,89,0,0,1,8,4,3,3
大漢技術學院,14,14,0,0,0,0,0,0,0,2712,146,5,6,12,11,69,2,2,11,1,16,3,6,1,0,1,159,3,0,4,68,64,1,0,0,8,2,9,0
大華學校財團法人敏實科技大學,53,50,3,0,0,0,0,0,0,1737,25,3,3,1,5,13,0,0,0,0,0,0,0,0,0,0,107,9,3,19,12,42,0,0,0,7,1,0,14
大葉大學,292,194,31,4,1,0,3,48,11,20325,718,83,59,17,76,307,3,14,30,11,53,15,20,13,5,12,679,16,0,231,96,284,1,0,3,14,12,22,0
學校財團法人中華浸信會基督教台灣浸會神學院,0,0,0,0,0,0,0,0,0,147,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
宏國學校財團法人宏國德霖科技大學,107,100,7,0,0,0,0,0,0,14988,210,22,23,26,29,66,4,0,21,1,0,1,11,4,2,0,529,61,17,61,200,163,0,0,3,17,3,2,2
實踐大學,627,427,191,1,1,0,7,0,0,38682,641,89,30,46,106,120,4,12,11,44,61,17,21,21,16,43,1130,154,18,489,107,292,0,1,8,20,3,36,2
崇仁醫護管理專科學校,57,57,0,0,0,0,0,0,0,9627,79,12,3,7,31,3,1,0,0,1,0,13,0,0,1,7,119,2,11,48,2,55,0,0,0,0,1,0,0
崇右學校財團法人崇右影藝科技大學,114,95,19,0,0,0,0,0,0,5772,64,7,16,5,8,17,2,2,5,0,1,1,0,0,0,0,325,14,0,64,119,104,0,0,1,12,8,3,0
崑山科技大學,348,251,97,0,0,0,0,0,0,29910,1586,52,59,64,159,357,3,3,93,14,6,9,26,0,741,0,1156,29,0,337,7,584,0,2,7,91,23,50,26
嶺東科技大學,216,203,11,0,1,0,0,1,0,30759,482,27,68,12,80,188,4,3,37,7,12,9,21,9,0,5,1002,175,0,222,311,284,0,0,0,8,1,1,0
康寧學校財團法人康寧大學,85,85,0,0,0,0,0,0,0,9840,190,23,3,12,46,36,2,2,3,5,0,11,5,8,21,13,314,16,66,74,0,95,0,0,5,4,2,49,3
廣亞學校財團法人育達科技大學,161,108,53,0,0,0,0,0,0,11352,292,17,35,7,19,102,13,5,16,1,11,5,25,1,1,34,433,21,0,95,160,103,0,0,4,27,8,4,11
建國科技大學,199,146,53,0,0,0,0,0,0,17613,194,13,24,6,20,74,2,3,17,0,0,13,11,1,5,5,633,99,0,153,161,176,0,1,2,20,8,8,5
弘光科技大學,304,229,57,6,1,0,0,11,0,37998,896,82,110,21,171,299,18,33,25,10,13,35,19,7,15,38,988,82,1,247,225,396,1,1,1,15,6,12,1
德明財經科技大學,572,277,295,0,0,0,0,0,0,21876,562,36,12,59,83,73,8,5,5,5,1,8,20,38,209,0,500,64,3,192,23,193,0,0,2,14,1,7,1
德育學校財團法人德育護理健康學院,210,207,3,0,0,0,0,0,0,12024,343,20,34,34,50,84,4,10,16,4,4,21,10,1,6,45,518,72,10,148,60,75,0,2,8,40,7,65,31
慈惠醫護管理專科學校,245,245,0,0,0,0,0,0,0,10035,491,47,102,20,120,69,8,2,22,1,0,18,3,0,62,17,454,90,12,119,34,119,0,2,5,26,9,23,15
慈濟學校財團法人慈濟大學,91,50,28,4,2,0,0,7,0,10044,212,13,5,6,33,15,2,6,2,5,48,6,6,1,1,63,215,21,2,114,14,44,0,0,1,0,0,18,1
慈濟學校財團法人慈濟科技大學,81,79,2,0,0,0,0,0,0,9633,185,18,8,26,58,44,2,7,3,0,1,2,10,3,0,3,182,29,9,61,18,52,0,0,3,3,1,5,1
敏惠醫護管理專科學校,115,115,0,0,0,0,0,0,0,11715,104,20,8,7,19,3,0,1,0,0,0,0,0,0,10,36,223,38,4,48,8,61,0,0,5,3,3,31,22
文藻學校財團法人文藻外語大學,382,168,163,9,2,2,17,21,0,26049,716,67,40,132,108,211,11,9,8,31,14,4,23,22,33,3,764,46,1,293,106,238,0,0,4,46,11,18,1
新生醫護管理專科學校,189,161,0,0,0,0,0,0,28,18165,243,24,15,65,26,23,5,4,0,1,0,25,1,0,0,54,271,42,10,88,4,79,0,0,4,9,7,28,0
明志科技大學,145,118,27,0,0,0,0,0,0,13314,133,10,15,8,43,36,0,0,11,2,2,2,3,0,1,0,218,7,1,42,91,69,0,0,1,4,2,1,0
明新學校財團法人明新科技大學,422,338,63,2,0,0,0,19,0,34131,808,28,35,35,72,221,13,3,67,4,16,16,33,9,223,33,1109,39,1,192,168,451,0,0,7,199,6,37,9
明道學校財團法人明道大學,85,70,15,0,0,0,0,0,0,6039,154,23,9,1,13,55,2,2,13,1,10,0,7,0,3,15,242,20,0,54,80,75,0,1,0,8,2,2,0
景文科技大學,265,218,47,0,0,0,0,0,0,17709,305,23,54,20,64,77,2,6,24,12,7,4,9,3,0,0,640,76,0,149,152,217,0,0,6,20,6,14,0
朝陽科技大學,439,372,62,0,1,0,0,4,0,43965,727,53,68,45,131,207,8,26,41,13,48,11,33,8,4,31,1080,14,0,429,216,265,0,3,4,71,12,51,15
東南科技大學,186,165,21,0,0,0,0,0,0,14550,566,12,24,3,21,120,2,1,11,1,0,19,19,0,331,2,633,24,59,71,77,357,0,0,2,14,1,8,20
東吳大學,585,364,76,95,23,1,5,21,0,46374,1028,86,24,22,86,216,10,41,18,75,144,36,13,18,1,238,761,97,0,176,88,353,0,1,2,7,0,28,9
東方學校財團法人東方設計大學,103,103,0,0,0,0,0,0,0,4413,322,10,3,0,2,21,0,0,6,1,0,0,0,2,251,26,378,3,5,102,151,92,0,0,3,9,0,13,0
東海大學,548,431,39,34,34,0,2,8,0,47601,1281,101,36,32,133,275,5,28,6,71,196,9,66,9,46,268,852,108,0,306,6,343,0,0,8,20,4,50,7
樹人醫護管理專科學校,223,219,4,0,0,0,0,0,0,21915,311,36,1,20,140,63,3,0,3,1,0,12,0,0,0,32,521,54,23,254,23,130,0,0,9,12,0,0,16
樹德科技大學,324,302,22,0,0,0,0,0,0,30129,451,46,105,29,49,103,2,13,14,6,24,6,12,0,35,7,965,134,0,220,253,274,0,0,12,21,30,21,0
正修學校財團法人正修科技大學,258,258,0,0,0,0,0,0,0,52704,1664,82,118,202,224,506,11,6,68,18,35,42,24,13,135,180,1951,237,22,367,458,652,0,0,8,64,27,115,1
法鼓學校財團法人法鼓文理學院,1,0,1,0,0,0,0,0,0,987,89,6,4,0,0,23,0,1,2,1,42,0,5,0,0,5,30,5,0,4,0,0,0,0,1,9,1,0,10
淡江大學學校財團法人淡江大學,1042,863,60,46,36,0,32,5,0,73602,1663,125,28,33,161,118,8,21,6,73,63,27,10,36,815,139,1345,75,0,529,0,627,0,0,6,13,5,86,4
玄奘大學,113,113,0,0,0,0,0,0,0,6147,318,15,41,15,18,91,2,4,5,3,34,4,9,4,27,46,335,43,0,90,80,40,1,0,3,39,10,7,22
環球學校財團法人環球科技大學,127,127,0,0,0,0,0,0,0,8493,239,22,48,47,49,32,0,0,6,1,0,13,4,0,17,0,399,39,3,67,123,137,0,0,1,15,6,6,2
真理大學,260,259,0,1,0,0,0,0,0,15030,213,18,68,8,42,26,2,0,14,10,10,8,3,3,0,1,591,20,0,315,128,111,0,0,4,1,7,5,0
美和學校財團法人美和科技大學,128,128,0,0,0,0,0,0,0,17805,529,40,42,2,76,186,15,12,28,1,26,29,24,7,41,0,522,32,26,109,92,210,0,0,2,19,2,30,0
義守大學,600,531,37,5,2,0,4,0,21,41877,398,23,25,14,113,132,4,8,6,15,7,4,16,8,8,15,1079,57,0,529,247,157,0,1,3,29,8,40,8
耕莘健康管理專科學校,226,204,22,0,0,0,0,0,0,13176,163,16,0,14,83,14,0,2,0,1,0,4,6,3,9,11,282,9,28,134,8,83,0,0,5,2,0,9,4
聖母醫護管理專科學校,23,23,0,0,0,0,0,0,0,5616,108,8,6,14,36,21,4,2,2,0,0,8,2,3,0,2,166,16,10,47,11,70,0,0,1,4,3,4,0
聖約翰科技大學,164,164,0,0,0,0,0,0,0,5514,185,5,6,16,13,74,1,2,22,1,18,3,5,2,6,11,325,33,2,83,19,128,0,0,1,33,7,18,1
育英醫護管理專科學校,59,58,1,0,0,0,0,0,0,5769,85,7,4,23,32,5,0,0,0,1,0,5,8,0,0,0,83,7,0,44,0,21,0,0,3,1,2,5,0
致理學校財團法人致理科技大學,337,182,155,0,0,0,0,0,0,34458,586,31,35,72,138,199,5,19,16,12,6,21,19,11,0,2,800,55,4,267,128,296,0,0,3,31,3,13,0
臺北基督學院,4,4,0,0,0,0,0,0,0,195,17,0,1,1,2,2,0,0,0,3,0,0,0,0,0,8,3,0,0,0,0,3,0,0,0,0,0,0,0
臺北市立大學,299,202,34,7,4,0,0,47,5,24342,729,45,32,19,51,277,14,59,6,38,99,10,26,28,3,22,441,36,0,87,145,6,0,1,1,49,4,109,3
臺北醫學大學,122,99,12,9,2,0,0,0,0,18411,471,21,10,2,172,78,4,19,0,16,59,11,50,5,0,24,298,20,0,82,12,158,0,0,1,8,1,10,6
華夏學校財團法人華夏科技大學,106,105,0,1,0,0,0,0,0,10500,429,19,21,6,61,101,6,4,32,3,6,12,8,4,129,17,520,30,0,147,95,214,0,0,2,17,2,8,5
華梵大學,59,59,0,0,0,0,0,0,0,3270,162,26,1,6,10,43,0,2,3,4,38,3,21,0,0,5,157,11,0,40,25,69,0,0,0,0,1,0,11
